Caller,Callee
ares_process,handle_error
ares_process,swap_lists
ares_process,skip_server
ares_process,next_server
ares_process,ares__send_query
ares_process,end_query
ares_process,ares__free_query
ares_process,open_tcp_socket
ares_process,open_udp_socket
ares_process,socket_write
ares_process,timeadd
ares_process,send
ares_process,ares__open_socket
ares_process,configure_socket
ares_process,ares__close_socket
ares_process,ares__connect_socket
ares_process,connect
ares_process,close
ares_process,strcasecmp
ares_process,recvfrom
ares_process,socket_recv
ares_process,recv
ares_process,socket_writev
ares_process,advance_tcp_send_queue
ares_process,writev
ares_process,ares_expand_name
ares_process,name_length
ares_process,ares__close_sockets
ares_process,ares__init_list_head
ares_process,ares__is_list_empty
ares_process,ares__insert_in_list
ares_process,ares__remove_from_list
ares_process,aresx_uztosl
ares_process,aresx_sitous
processfds,fcntl
processfds,setsockopt
processfds,bind
processfds,memcmp
processfds,setsocknonblock
processfds,socket
processfds,socket_recvfrom
processfds,try_again
processfds,same_address
processfds,process_answer
processfds,same_questions
processfds,has_opt_rr
processfds,__assert_fail
processfds,ares_free_string
processfds,htonl
processfds,__errno_location
processfds,ares__tvnow
processfds,clock_gettime
processfds,gettimeofday
processfds,ares__timedout
processfds,write_tcp_data
processfds,read_tcp_data
processfds,read_udp_packets
processfds,process_timeouts
processfds,process_broken_connections
processfds,handle_error
processfds,swap_lists
processfds,skip_server
processfds,next_server
processfds,ares__send_query
processfds,end_query
processfds,ares__free_query
processfds,open_tcp_socket
processfds,open_udp_socket
processfds,socket_write
processfds,timeadd
processfds,send
processfds,ares__open_socket
processfds,configure_socket
processfds,ares__close_socket
processfds,ares__connect_socket
processfds,connect
processfds,close
processfds,strcasecmp
processfds,recvfrom
processfds,socket_recv
processfds,recv
processfds,socket_writev
processfds,advance_tcp_send_queue
processfds,writev
processfds,ares_expand_name
processfds,name_length
processfds,ares__close_sockets
processfds,ares__init_list_head
processfds,ares__is_list_empty
processfds,ares__insert_in_list
processfds,ares__remove_from_list
processfds,aresx_uztosl
processfds,aresx_sitous
addr_callback,fcntl
addr_callback,setsockopt
addr_callback,bind
addr_callback,memcmp
addr_callback,setsocknonblock
addr_callback,socket
addr_callback,__assert_fail
addr_callback,ares_free_string
addr_callback,strlen
addr_callback,htonl
addr_callback,ntohl
addr_callback,__errno_location
addr_callback,ares__tvnow
addr_callback,clock_gettime
addr_callback,gettimeofday
addr_callback,__ctype_b_loc
addr_callback,ares_strdup
addr_callback,strdup
addr_callback,strncpy
addr_callback,file_lookup
addr_callback,end_aquery
addr_callback,fopen
addr_callback,fclose
addr_callback,sprintf
addr_callback,skip_server
addr_callback,next_server
addr_callback,ares__send_query
addr_callback,end_query
addr_callback,ares__free_query
addr_callback,open_tcp_socket
addr_callback,open_udp_socket
addr_callback,socket_write
addr_callback,timeadd
addr_callback,send
addr_callback,ares__open_socket
addr_callback,configure_socket
addr_callback,ares__close_socket
addr_callback,ares__connect_socket
addr_callback,connect
addr_callback,close
addr_callback,strcasecmp
addr_callback,next_lookup
addr_callback,ptr_rr_name
addr_callback,ares_free_hostent
addr_callback,ares_create_query
addr_callback,strcmp
addr_callback,ares_striendstr
addr_callback,tolower
addr_callback,ares__is_onion_domain
addr_callback,ares_expand_name
addr_callback,name_length
addr_callback,ares__expand_name_for_response
addr_callback,ares__close_sockets
addr_callback,ares__generate_new_id
addr_callback,rc4
addr_callback,ares_query
addr_callback,generate_unique_id
addr_callback,find_query_by_id
addr_callback,ares__init_list_node
addr_callback,ares__is_list_empty
addr_callback,ares__insert_in_list
addr_callback,ares__remove_from_list
addr_callback,aresx_uztosl
addr_callback,aresx_uztosi
addr_callback,aresx_uztoss
addr_callback,aresx_sitoss
addr_callback,aresx_sitous
addr_callback,ares_send
addr_callback,ares__read_line
addr_callback,fgets
addr_callback,ferror
addr_callback,ares_inet_pton
addr_callback,inet_pton
addr_callback,ares_parse_ptr_reply
addr_callback,ares__get_hostent
file_lookup,memcmp
file_lookup,strlen
file_lookup,__errno_location
file_lookup,__ctype_b_loc
file_lookup,ares_strdup
file_lookup,strdup
file_lookup,fopen
file_lookup,fclose
file_lookup,ares_free_hostent
file_lookup,aresx_uztosi
file_lookup,aresx_uztoss
file_lookup,aresx_sitoss
file_lookup,ares__read_line
file_lookup,fgets
file_lookup,ferror
file_lookup,ares_inet_pton
file_lookup,inet_pton
file_lookup,ares__get_hostent
end_aquery,ares_free_hostent
ares_getnameinfo,fcntl
ares_getnameinfo,setsockopt
ares_getnameinfo,bind
ares_getnameinfo,memcmp
ares_getnameinfo,setsocknonblock
ares_getnameinfo,socket
ares_getnameinfo,__assert_fail
ares_getnameinfo,ares_free_string
ares_getnameinfo,strlen
ares_getnameinfo,htonl
ares_getnameinfo,ntohl
ares_getnameinfo,__errno_location
ares_getnameinfo,ares__tvnow
ares_getnameinfo,clock_gettime
ares_getnameinfo,gettimeofday
ares_getnameinfo,ntohs
ares_getnameinfo,strcpy
ares_getnameinfo,__ctype_b_loc
ares_getnameinfo,ares_strdup
ares_getnameinfo,strdup
ares_getnameinfo,ares_inet_ntop
ares_getnameinfo,inet_ntop
ares_getnameinfo,file_lookup
ares_getnameinfo,end_aquery
ares_getnameinfo,fopen
ares_getnameinfo,fclose
ares_getnameinfo,sprintf
ares_getnameinfo,lookup_service
ares_getnameinfo,append_scopeid
ares_getnameinfo,skip_server
ares_getnameinfo,next_server
ares_getnameinfo,ares__send_query
ares_getnameinfo,end_query
ares_getnameinfo,ares__free_query
ares_getnameinfo,open_tcp_socket
ares_getnameinfo,open_udp_socket
ares_getnameinfo,socket_write
ares_getnameinfo,timeadd
ares_getnameinfo,send
ares_getnameinfo,ares__open_socket
ares_getnameinfo,configure_socket
ares_getnameinfo,ares__close_socket
ares_getnameinfo,ares__connect_socket
ares_getnameinfo,connect
ares_getnameinfo,close
ares_getnameinfo,ares_gethostbyaddr
ares_getnameinfo,next_lookup
ares_getnameinfo,ptr_rr_name
ares_getnameinfo,ares_free_hostent
ares_getnameinfo,ares_create_query
ares_getnameinfo,strcmp
ares_getnameinfo,ares_striendstr
ares_getnameinfo,tolower
ares_getnameinfo,if_indextoname
ares_getnameinfo,getservbyport_r
ares_getnameinfo,ares__is_onion_domain
ares_getnameinfo,ares__close_sockets
ares_getnameinfo,ares__generate_new_id
ares_getnameinfo,rc4
ares_getnameinfo,ares_query
ares_getnameinfo,generate_unique_id
ares_getnameinfo,find_query_by_id
ares_getnameinfo,ares__init_list_node
ares_getnameinfo,ares__is_list_empty
ares_getnameinfo,ares__insert_in_list
ares_getnameinfo,ares__remove_from_list
ares_getnameinfo,aresx_uztosi
ares_getnameinfo,aresx_uztoss
ares_getnameinfo,aresx_sitoss
ares_getnameinfo,aresx_sitous
ares_getnameinfo,ares_send
ares_getnameinfo,ares__read_line
ares_getnameinfo,fgets
ares_getnameinfo,ferror
ares_getnameinfo,ares_inet_pton
ares_getnameinfo,inet_pton
ares_getnameinfo,ares__get_hostent
lookup_service,strlen
lookup_service,ntohs
lookup_service,sprintf
lookup_service,getservbyport_r
append_scopeid,strlen
append_scopeid,htonl
append_scopeid,strcpy
append_scopeid,sprintf
append_scopeid,if_indextoname
write_tcp_data,fcntl
write_tcp_data,setsockopt
write_tcp_data,bind
write_tcp_data,memcmp
write_tcp_data,setsocknonblock
write_tcp_data,socket
write_tcp_data,try_again
write_tcp_data,__assert_fail
write_tcp_data,htonl
write_tcp_data,__errno_location
write_tcp_data,handle_error
write_tcp_data,swap_lists
write_tcp_data,skip_server
write_tcp_data,next_server
write_tcp_data,ares__send_query
write_tcp_data,end_query
write_tcp_data,ares__free_query
write_tcp_data,open_tcp_socket
write_tcp_data,open_udp_socket
write_tcp_data,socket_write
write_tcp_data,timeadd
write_tcp_data,send
write_tcp_data,ares__open_socket
write_tcp_data,configure_socket
write_tcp_data,ares__close_socket
write_tcp_data,ares__connect_socket
write_tcp_data,connect
write_tcp_data,close
write_tcp_data,socket_writev
write_tcp_data,advance_tcp_send_queue
write_tcp_data,writev
write_tcp_data,ares__close_sockets
write_tcp_data,ares__init_list_head
write_tcp_data,ares__is_list_empty
write_tcp_data,ares__insert_in_list
write_tcp_data,ares__remove_from_list
write_tcp_data,aresx_sitous
read_tcp_data,fcntl
read_tcp_data,setsockopt
read_tcp_data,bind
read_tcp_data,memcmp
read_tcp_data,setsocknonblock
read_tcp_data,socket
